à|at|a specified price or rate of exchange|prep
æ|Vowel borrowed from Latin. Succeeded by ä||symbol
a|letter||letter
a.|anno||adv
a.|auch||adv
a.|am||contraction
a.|an||prep
A|letter||letter
A|A||n
Aa|poo, poop|faeces|n
Aa|any of several rivers in Germany||prop
Aa|surname||prop
Aaß|obsolete spelling of Aas||n
AA|initialism of Anonyme Alkoholiker|Alcoholics Anonymous|initialism
AA|initialism of Arbeitsamt||initialism
AA|initialism of Arbeitsanteil||initialism
AA|initialism of Arbeitsanweisung||initialism
AA|initialism of Arbeitsausschuss||initialism
AA|initialism of Assistenzarzt||initialism
AA|initialism of Aufgabeart||initialism
AA|initialism of Ausbildungsabteilung||initialism
AA|initialism of Auslandsabteilung||initialism
AA|initialism of Auswärtiges Amt||initialism
AA|initialism of American Airlines||prop
Aab|surname||prop
Aach|any of several rivers in Germany||prop
Aach|any of several towns and villages in Germany||prop
Aach|surname||prop
Aachen|the German city of Aachen||prop
Aachener|A native or inhabitant of Aachen||m
Aachener|Of or from Aachen||adj
Aachenerin|A native or inhabitant of Aachen|female|f
Aa gemacht|past participle of Aa machen||v
Aak|A flat cargo vessel used on the Lower Rhine||n
Aal|eel||m
Aal|Bad crease or crumple||m
Aal|torpedo||m
aalartig|eellike||adj
Aalbeere|blackcurrant||f
aalen|to hunt eels, to go on an eel-hunt||v
aalen|to stretch out, especially laughing|compare rotfl|v
aalen|to relax|eg as on vacation|v
Aalfang|the catching of eels||m
Aalfang|an eel trap, a device placed in flowing water to catch eels||m
Aalfang|a pond or place to catch or keep eels||m
Aalfell|eelskin||noun
Aalfett|eel fat||n
aalförmig|anguilliform||adj
aalglatt|slippery as an eel||adj
aalglatter|comparative of aalglatt||adj
aalglattesten|superlative of aalglatt||adj
aalgleich|eellike||adj
Aalhaut|eelskin||f
aalähnlich|eellike||adj
Aalmolch|conger eel, congo snake, a genus of aquatic salamanders, the only extant genus within the family Amphiumidae||m
Aalmutter|viviparous blenny|Zoarces viviparus|f
Aalmutter|eelpout|fish of the family Zoarcidae|f
Aam|aam|measure of liquids|f
Aa machen|to poo, pooh, or poop: to defecate||v
a.a.O.|“am angeführten Orte” or “am angegebenen Orte”: at the given place; an abbreviation when a source is cited multiple times||abbr
Aar|eagle||m
Aare|Aar|a river in Switzerland|prop
Aargau|Aargau||prop
aargauisch|Of or from Aargau||adj
Aarmühle|former name of Interlaken, Switzerland||prop
