à|obsolete spelling of a||prep
á|obsolete spelling of a||prep
a-|A prefix forming words, especially verbs, that denote entering a state, making progress toward a goal, or the like||prefix
a-|a-, non-, -less||prefix
-a|-ess.|Used to form feminine singular nouns.|suffix
-a||Used to form the feminine singular adjectives.|suffix
-a|-s. present indicative mood of regular -ar verbs.]|Used to form the third-person singular |suffix
-a|singular present subjunctive mood of -er and -ir verbs, also used for the imperative mood of usted.]|Used to form the first and third-person singular |suffix
-a||Used to form the second-person singular imperative mood of -ar verbs.|suffix
a|letter||letter
a|Name of the letter A||f
a|to||prep
a|by||prep
a|at||prep
a|Used before words referring to people, pets, or personified objects or places that function as direct objects: personal a||prep
A|letter||letter
A|bishop||m
AA|initialism of Alcohólicos Anónimos||initialism
añadidura|addition||f
añadidura|extra||f
añadidura|add-on||f
añadidura|Something that is added, especially something that a merchant gives to a buyer to complete the amount requested, or something extra given as a bonus; a gratuity, lagniappe||f
añadir|to augment||v
añadir|to add||v
añadir|to append||v
añadir|to annex||v
añagaza|trick, trap||f
añal|annual||adj
aaleniano|Aalenian|subdivision of the Jurassic epoch|m
aaleniano|Aalenian|of or pertaining to the Aalenian epoch|adj
a alguna parte|off to; to somewhere||adv
añar|eon|many years, a long period of time|m
Aarón|given name. Spanish equivalent of Aaron||prop
aarónico|Aaronic||adj
ab.|abbreviation of abril; Apr.|April|m
-aba|Suffix indicating the first-person singular imperfect indicative of -ar verbs||suffix
-aba|Suffix indicating the third-person singular imperfect indicative of -ar verbs||suffix
abañadura|sifting||f
abañar|to sift||v
ababa|red poppy||f
Ababa|given name||prop
ababillarse|to be sick with the stifle|of horses and other quadrupeds|v
ababol|the flower of the red poppy|Papaver rhoeas|m
ababol|absentminded or simpleminded person||m
ababol|simpleton||m
abacá|abaca||m
abacá|Manilla hemp||m
abacalera|feminine noun of abacalero||f
abacalero|abaca worker|farmer, transporter, or salesman|m
abacería|grocery|store|f
abacera|feminine noun of abacero||f
abacero|grocer||m
abacial|abbatial||adj
abacista|abacist||mf
abacora|swordfish|Xiphias gladius|f
abacora|type of tuna||f
abacorar|to attack||v
abacorar|to pursue relentlessly, to harass||v
abacorar|to corner||v
abacorar|to overcome||v
abacorar|to catch, to surprise||v
abacorar|to smooch while dancing||v
abacorar|to stockpile, to hoard, to corner the market||v
abacorar|to monopolize||v
abad|abbot||m
abadí|A member of the Abbadid dynasty, rulers of the taifa of Seville||m
abadía|abbey||f
abadía|abbeystead||f
abadejo|pollock, pollack|fish related to cod|m
abadengo|abbatial, of an abbot||adj
abadernar|to fasten with short ropes||v
abadesa|abbess||f
Abadán|Abadán|city|prop
-abais|Suffix indicating the second-person plural imperfect indicative of -ar verbs||suffix
abajadero|slope, incline||m
abajar|to go down||v
abajar|to descend||v
abajeña|feminine noun of abajeño||f
abajeño|coastal||adj
abajeño|lowlander||adj
abajeño|lowlander, coastal dweller||m
abajera|saddlecloth||f
abajero|lower, under||adj
abajino|from, of or relating to the north of Chile||adj
abajino|someone from the north of Chile||m
abajito|a little bit down||adv
abajo|down||adv
abajo|downstairs||adv
abajo|below||adv
abajo|down with, away with||interj
abajofirmante|undersigned, signatory||mf
abajor|lack of stature, height; shortness||m
abakuá|abakuá||m
abalanzar|to propel||vt
abalanzar|to balance, compensate||vt
abalanzar|to pounce on, swoop down on||vr
abalanzarse|reflexive of abalanzar||v
abalconado|balconied||adj
abaldonadamente|daringly, courageously||adv
abaldonamiento|audacity||m
abalear|to shoot||vt
abaleo|shooting||m
abalorio|glass bead||m
abalorio|trinket; bauble|jewelry of little value|m
abaluartar|to fortify with bastions||v
abamperio|abampere||m
-aban|Suffix indicating the third-person plural imperfect indicative of -ar verbs||suffix
abanación|abannation, banishment||f
abanar|to fan||v
abanar|to show off||vr
abancalar|to terrace||v
abanderada|feminine noun of abanderado||f
abanderado|standard-bearer, flagbearer||m
abanderamiento|the act of raising a flag||m
abanderar|to register a boat under a particular nationality||v
abanderar|to lead a cause, rebellion, movement||v
abanderizar|to polarize; to divide into factions||vtr
abandonado|abandoned||adj
abandonado|dirty, sloppy, negligent||adj
abandonamiento|abandonment||m
abandonar|to abandon, to leave||v
abandonar|to neglect||v
abandonismo|defeatism||m
abandonista|defeatist||adj
abandonista|defeatist||mf
abandono|abandonment||m
abandono de proceso|nolle prosequi|declaration that a prosecution will not proceed|m
abanicada|fanning, fanning action||f
abanicar|to fan||v
abanicazo|A hit with a fan|hand-held device|m
abanico|fan|hand-held device|m
abanico aluvial|alluvial fan||m
abanillo|small fan||m
abanillo|ruffle, frill, puff||m
abano|ceiling fan||m
abano|fly-chaser|tool to chase flies from an area|m
Abanto|A town in Zaragoza, Aragon, Spain||prop
Abanto|surname||prop
abaratamiento|reduction|generally in the price of an item|m
abaratar|to make cheaper|by reducing the price|v
abarbetar|to lash|with rope, cord, etc.|v
abarca|sandal||f
abarcador|comprehensive||adj
abarcar|to embrace, to encompass||v
abarcar|to comprise, to make up, to contain, to include||v
abarcar|to take in||v
abarcar|to clasp||v
abarcar|to undertake, to embark upon||v
abarcar|to monopolize, to corner||v
abarcar más de lo que se puede|to bite off more than one can chew|to try to do too much|v
abarloar|to raft up||v
abarquillar|to crinkle; to crinkle up||vtr
abarracar|to construct barracks||v
abarrar|to throw with force||v
abarraz|stavesacre|Delphinium staphisagria|f
abarrotado|overcrowded|containing too many occupants for an area of its size|adj
abarrotar|to pack||v
abarrotar|to bar||v
abarrotar|to stow cargo on a ship||v
abarrote|packing||m
abarrote|groceries||m
abarrotería|general store, local shop||f
-abas|Suffix indicating the second-person singular imperfect indicative of -ar verbs||suffix
abasí|Abbasid||m
abasí|Abbasid||adj
a base de|solely down to; by ... alone; by sheer||prep
abasida|synonym of abasí: Abbasid||m
abasida|synonym of abasí: Abbasid||adj
abastamiento|dated form of abastecimiento||m
abastar|to supply||v
abastardar|To degrade, debase, bastardize||vt
abastardar|To degrade, degenerate||vi
abastecedor|outfitter||m
abastecer|to supply|with|v
abastecimiento|supply||m
abastimiento|dated form of abastecimiento||m
abastionar|to fortify with bastions||v
abasto|supply, provisions||m
abasto|abundance||m
abasto|groceries||m
abasto|fill]|usually as part of the phrasal verb darse abasto |m
abasto|grocery store||m
abatanar|to full, mill|clothing|v
abatanar|to beat, hit, abase||v
abatatar|to frighten||v
abatatar|to embarrass||v
abatible|reclining|seat|adj
abatidamente|abjectly||adv
abatido|abject, discouraged||adj
abatimiento|depressiveness||m
abatimiento|dejection||m
abatimiento|abjectness||m
abatir|to demolish, to knock down||vtr
abatir|to depress or discourage|to make depressed|vtr
abatir|to humble||vtr
abatirse|reflexive of abatir||v
abatización|the application of the larvicide Abate|also called temephos|f
abatojar|to thresh||v
abaya|abaya||f
abazón|cheek pouch|pouch in the cheek|m
abciximab|abciximab||m
abcísico|abscisic||adj
Abdías|Obadiah, Abdias||prop
Abdías|Obadiah|the book of the Bible|prop
abdesto|abdest|Islamic act of washing parts of the body|m
abdicación|abdication, renunciation||f
abdicador|abdicating; abdicant|who abdicates|adj
abdicador|abdicator; abdicant|one who abdicates|m
abdicar|to abdicate, relinquish||v
abdicativamente|abdicatingly||adv
abdicativo|abdicative||adj
abdomen|abdomen||m
abdominal|abdominal||adj
abdominal|abdominal muscle||m
abdominal|sit-up||m
abdominalmente|abdominally||adv
abdominoplastia|abdominoplasty||f
abducción|abduction|physiology: movement separating limb from axis|f
abducir|to abduce, to abduct|draw away from the median axis of the body|v
abductor|abductor||m
abductor del meñique|abductor minimi digiti||m
abductor largo del pulgar|abductor pollicis longus||m
abecé|ABCs|alphabet|m
abecé|primer|textbook formerly used to teach the alphabet|m
abecedariana|feminine noun of abecedariano||f
abecedariano|Abecedarian|member of a 16th-century sect|m
abecedario|alphabet|an ordered set of letters used in a language|m
abecedario|spelling book, primer||m
abedul|birch||m
abeja|bee|the insect|f
abeja albañila|mason bee||f
abeja carpintera|carpenter bee||f
abeja de miel|honeybee||f
abeja machiega|worker bee||f
abeja maesa|queen bee||f
abeja maestra|queen bee||f
abeja melífera|honey bee||f
abeja neutra|worker bee||f
abeja obrera|worker bee||f
abejar|apiary||m
abeja reina|queen bee||f
abejarrón|bumblebee||m
abejaruco|bee-eater||m
abejear|to be vigilant||v
abejera|feminine noun of abejero||f
abejero|beekeeper|someone who keeps bees|m
abejita|young bee||f
abejón|bumblebee||m
abejonear|to buzz||vi
abejorrear|to buzz||v
